iter	Quantile:alpha=0.5	Quantile:alpha=0.5	MSE
269	0.1835056599	0.8869471264	0.4996634022
270	0.1834895716	0.8897370365	0.5004457321
271	0.1834781794	0.8870447756	0.5006529274
272	0.1834517805	0.89113077	0.5011366919
273	0.1834394272	0.8870385917	0.5002913517
274	0.183436258	0.8909603859	0.5009624159
275	0.183461221	0.8872535934	0.5003956468
276	0.1833887347	0.8911229148	0.5004744784
277	0.1833688875	0.886974965	0.5001634805
278	0.1833764942	0.8901842272	0.5008971587
279	0.1833928973	0.8874087286	0.5004903833
280	0.1833769403	0.8907236603	0.5007595535
281	0.1833334016	0.8859627737	0.5001929592
282	0.1832843222	0.8911699524	0.5002500189
283	0.1831978442	0.8850151709	0.4995999809
284	0.1831449216	0.8913997711	0.5001387486
285	0.1831708193	0.8849491967	0.4994665333
286	0.183142944	0.890721785	0.4999841094
287	0.1832018556	0.8846061575	0.4994406939
288	0.1831349299	0.8917042031	0.499927453
289	0.1831148125	0.8845919543	0.499251051
290	0.1830862596	0.8924704499	0.5001971117
291	0.1832738261	0.8850602301	0.4997037163
292	0.1833027135	0.8921646097	0.5013556054
293	0.1832992515	0.8874687537	0.4991988677
294	0.1832464759	0.8917071295	0.5012112634
295	0.1835472317	0.8884979435	0.4996016415
296	0.1836404174	0.8893309234	0.5014311703
297	0.1840838226	0.8915992434	0.5009812611
298	0.1839030639	0.8902156749	0.5018136703
299	0.1838355984	0.8877700677	0.4992227044
300	0.1838089918	0.8893052074	0.5008600617
301	0.183803845	0.8878682174	0.4997060288
302	0.183825488	0.8890678264	0.5001396085
303	0.1836699003	0.8886762588	0.4995255258
304	0.1835843503	0.8890836075	0.4995843967
305	0.1835353439	0.887714728	0.49855477
306	0.1834986648	0.8885947286	0.4986129695
307	0.183452997	0.8880384944	0.4986728228
308	0.183418013	0.8878556601	0.4989436311
309	0.183458212	0.8866276052	0.4960474577
310	0.1834774565	0.8883432543	0.4978558714
311	0.1834696589	0.8896819915	0.4983908064
312	0.1834568935	0.8882275875	0.4971429356
313	0.1833326463	0.8878795478	0.4972924607
314	0.1833046411	0.8871132897	0.4968102926
315	0.1832973669	0.8870426736	0.4970498903
316	0.1832544186	0.8870989283	0.4975318609
317	0.1832148198	0.8876105774	0.4972506638
318	0.1831516037	0.8882666607	0.4978380123
319	0.1831342765	0.887546206	0.4979759329
320	0.1831129939	0.8883525352	0.4979536622
321	0.1831243112	0.8888023106	0.4981441737
322	0.1831513648	0.8875306353	0.4978916705
323	0.1831557543	0.8883384686	0.4976871212
324	0.1832016358	0.886383146	0.496380612
325	0.1832055954	0.8867035628	0.4958562417
326	0.1831509355	0.8853526519	0.4956740204
