0	25528	63
1	20869	104
2	19105	144
3	18220	184
4	17653	223
5	16980	258
6	16494	293
7	16222	331
8	15883	365
9	14526	372
10	14405	407
11	14322	442
12	14247	478
13	13826	501
14	13790	537
15	13743	572
16	13439	596
17	13421	632
18	13423	669
19	13041	686
20	13011	720
21	13011	757
22	12847	783
23	12815	818
24	12776	851
25	12703	883
26	12646	915
27	12573	946
28	12515	978
29	12466	1010
30	12407	1042
31	12369	1075
32	12340	1109
33	12291	1141
34	12233	1173
35	12192	1205
36	12146	1238
37	12106	1270
38	12076	1304
39	12047	1338
40	11927	1362
41	11904	1396
42	11873	1430
43	11834	1462
44	11802	1496
45	11761	1528
46	11733	1562
47	11700	1595
48	11502	1605
49	11464	1637
50	11436	1671
51	11400	1703
52	11373	1737
53	11336	1769
54	11297	1801
55	11267	1834
56	11241	1868
57	11213	1901
58	11160	1931
59	11101	1959
60	11043	1987
61	10993	2016
62	10938	2044
63	10889	2074
64	10849	2105
65	10790	2132
66	10740	2160
67	10701	2191
68	10656	2221
69	10611	2250
70	10575	2282
71	10538	2313
72	10501	2344
73	10459	2374
74	10412	2402
75	10366	2431
76	10332	2463
77	10291	2492
78	10256	2524
79	10218	2554
80	10176	2583
81	10130	2612
82	10090	2642
83	10046	2670
84	10004	2699
85	9963	2728
86	9929	2759
87	9890	2789
88	9845	2817
89	9810	2848
90	9770	2877
91	9732	2907
92	9697	2937
93	9661	2967
94	9624	2997
95	9590	3028
96	9556	3059
97	9516	3088
98	9481	3118
99	9442	3147
100	9408	3178
101	9372	3208
102	9336	3237
103	9299	3267
104	9262	3296
105	9226	3326
106	9189	3355
107	9152	3385
108	9114	3414
109	9077	3443
110	9042	3473
111	9003	3501
112	8965	3530
113	8931	3560
114	8896	3589
115	8861	3619
116	8826	3649
117	8794	3680
118	8760	3709
119	8728	3740
120	8696	3771
121	8662	3801
122	8624	3829
123	8590	3859
124	8555	3888
125	8520	3918
126	8484	3946
127	8451	3977
128	8418	4007
129	8363	4026
130	8325	4054
131	8291	4084
132	8254	4111
133	8180	4120
134	8147	4150
135	8111	4178
136	8060	4198
137	8026	4227
138	7993	4257
139	7960	4286
140	7924	4314
141	7891	4343
142	7860	4373
143	7825	4401
144	7793	4431
145	7760	4461
146	7727	4489
147	7693	4518
148	7660	4547
149	7626	4576
150	7592	4604
151	7559	4633
152	7523	4660
153	7491	4689
154	7456	4717
155	7424	4747
156	7390	4774
157	7355	4802
158	7321	4830
159	7288	4859
160	7257	4889
161	7225	4918
162	7190	4945
163	7159	4974
164	7125	5003
165	7092	5031
166	7059	5059
167	7026	5088
168	6993	5116
169	6957	5142
170	6926	5172
171	6894	5200
172	6860	5228
173	6826	5255
174	6794	5284
175	6764	5315
176	6731	5343
177	6700	5372
178	6670	5402
179	6636	5429
180	6605	5459
181	6572	5487
182	6542	5517
183	6510	5546
184	6480	5576
185	6450	5606
186	6418	5634
187	6383	5661
188	6351	5689
189	6321	5719
190	6290	5748
191	6261	5779
192	6228	5807
193	6198	5837
194	6170	5869
195	6139	5899
196	6109	5929
197	6076	5956
198	6047	5986
199	6016	6016
200	5986	6046
201	5953	6073
202	5922	6102
203	5890	6131
204	5859	6159
205	5828	6188
206	5797	6218
207	5765	6246
208	5720	6259
209	5687	6286
210	5655	6313
211	5623	6340
212	5590	6368
213	5559	6396
214	5527	6423
215	5494	6449
216	5461	6475
217	5431	6505
218	5402	6536
219	5371	6564
220	5339	6592
221	5310	6623
222	5279	6652
223	5250	6681
224	5219	6710
225	5188	6739
226	5159	6769
227	5128	6798
228	5096	6825
